station_no,name_tw,parking_spaces,lat,lng
500106065,中山徐州路口,26,25.04178,121.51907
500106066,信義連雲街口,39,25.03377,121.53041
500106067,臺北轉運站,68,25.04842,121.51994
500106068,莒光大埔街口,32,25.03132,121.50519
500106069,捷運忠孝新生站(2號出口),32,25.04235,121.53222
500106070,光華商場,39,25.04478,121.53274
500106071,中山青島路口,30,25.04503,121.51968
500106072,捷運中正紀念堂站(5號出口),29,25.03526,121.5168
500106073,北平東杭州北路口,20,25.04553,121.52736
500106074,王貫英先生紀念圖書館,15,25.02266,121.52362
500106075,金山信義路口,25,25.03443,121.52721
500106077,林森徐州路口,16,25.04094,121.52215
500106078,徐州杭州路口,19,25.04023,121.52565
500106079,捷運中正紀念堂站(6號出口),17,25.03615,121.5166
500106080,捷運臺北車站(M2出口),20,25.04821,121.51903
500106083,臺北市國父史蹟館(逸仙公園),31,25.04779,121.52042
500106084,捷運西門站(5號出口),30,25.04244,121.50864
500106085,弘道國中,18,25.03828,121.51524
500106086,臺北市第一女子高級中學,17,25.0385,121.51288
500106087,台北市替代役中心,15,25.01808,121.5275
500106088,紹興徐州路口,18,25.04051,121.52401
500106089,羅斯福寧波東街口,26,25.03145,121.51941
500106090,自來水園區,40,25.01328,121.53004
500106091,仁愛林森路口,31,25.03895,121.52233
500106092,捷運西門站(3號出口),36,25.04178,121.50869
500106093,仁愛金山路口,9,25.0384,121.52801
500106094,杭州南路一段101巷口,14,25.03746,121.52799
500106095,仁愛杭州路口,16,25.03846,121.52497
500106096,龍興里活動中心,21,25.02815,121.51108
500106097,植物園,29,25.0299,121.51033
500106098,郵政博物館,24,25.03158,121.51464
500106099,林森北平路口,20,25.04659,121.52377
500106100,北平紹興路口,15,25.04597,121.52579
500106101,天津北平路口,15,25.04692,121.52208
500106102,捷運忠孝新生站(1號出口),19,25.04272,121.53207
500106103,捷運忠孝新生站(5號出口),13,25.04113,121.53273
500106104,捷運臺大醫院站(1號出口),19,25.04074,121.51586
500106105,臺大醫院兒童醫院,22,25.04461,121.5188
500106106,林森濟南路口(東北側),15,25.0425,121.5227
500106107,仁愛紹興街口(南側),17,25.03837,121.52345
500106108,中華南海路口,15,25.02703,121.50686
